SKU,Avg Daily Demand,Safety Stock,Reorder Point,Max Forecasted Demand (Next 90 Days)
Ice Cream,254.1,90.22,1868.95,388.8
Milk,243.22,95.62,1798.18,374.52
Yogurt,249.52,97.12,1843.74,382.8
Cheese,223.99,106.52,1674.47,412.28
Buttermilk,215.33,61.87,1569.18,377.14
Curd,262.11,75.15,1909.94,423.55
Paneer,262.49,80.0,1917.44,353.07
Lassi,269.41,97.84,1983.68,389.5
Ghee,289.41,85.71,2111.57,410.7
Butter,233.54,63.46,1698.26,395.34
